144
200

CRATES
36,36
32,36
28,36
24,36
176,28
164,28
152,44
148,44
16,32
128,44
120,44
144,44
108,44
104,44
168,28
132,44
112,84
104,84
100,84
96,84
92,84
88,84
72,68
116,100
188,80
116,120
60,120
180,80
112,120
20,36
108,120
80,120
156,28
52,120
84,84
100,120
104,120
140,44
120,100
132,100
16,24
160,28
92,120
88,120
84,120
16,36
44,68
56,120
76,120
96,44
140,100
40,120
112,44
168,80
100,44
32,120
156,80
64,68
136,44
36,120
184,80
64,120
44,120
48,120
40,88
68,120
124,100
96,120
176,80
76,68
164,80
148,100
156,44
136,100
44,88
32,88
36,88
16,28
128,100
152,100
156,100
196,80
56,68
108,84
160,100
144,100
52,68
116,44
120,120
172,80
124,44
160,80
192,80
24,88
28,88
72,120
48,68
60,68
172,28
68,68

SPAWN PLACE
28,32
32,84
112,116

BOX
112,36
188,72

ITEM
136,36,SNIPER_ID
68,60,ARMOR_ID
80,112,COWBOY_PISTOL_ID
88,76,SHOTGUN_ID
140,92,HELMET_ID

SPAWN DUCK
104,72
164,16
152,88
176,68
52,56
40,108

