144
200

CRATES
68,100
72,100
180,44
164,40
112,72
148,104
36,104
116,72
32,104
92,28
128,128
148,96
128,72
48,104
176,104
56,104
108,120
88,72
44,104
108,124
148,92
72,104
172,104
112,128
104,72
36,52
124,128
96,72
148,44
64,52
92,72
140,44
164,44
56,52
168,44
156,104
160,44
108,72
144,104
40,104
100,72
84,28
100,28
76,104
116,128
140,128
176,44
68,104
24,104
52,104
132,128
120,72
120,128
40,52
80,104
88,104
44,52
152,104
168,40
20,52
104,28
144,44
88,28
52,52
108,128
136,44
64,104
80,28
156,44
148,100
28,104
112,28
96,28
60,104
140,104
32,52
160,104
24,52
132,44
140,72
180,104
60,52
132,72
28,52
164,104
152,44
136,128
136,104
136,72
168,104
104,128
108,28
172,44
48,52
124,72
84,104

SPAWN PLACE
44,48
96,68
152,100

BOX
68,92
164,32

ITEM
48,96,AK_47_ID
88,20,LASER_RIFLE_ID
144,36,GRENADE_ID
132,120,BANANA_ID

SPAWN DUCK
28,92
108,16
24,40
128,60
176,92
116,116

